SKU,Product,Shipments with extra charge,Extra charged ($),By service,By type
WB2030DWOOD,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 20x30 / Driftwood,13,100.8,UPS Ground Saver $67.58; FedEx (service not itemized) $27.22; UPS (service not itemized) $6.00,Carrier re-rate after label $67.58; Billed above label cost $33.22
WB1620NAOAK,Americanflat 16x20 Picture Frame  - Wide Picture Frames Made of Engineered Wood for Vertical or Horizontal Wall Display - Natural Oak,36,99.9,UPS Ground Saver $99.00; USPS Ground Advantage $0.70; FedEx (service not itemized) $0.20,Carrier re-rate after label $99.70; Billed above label cost $0.20
WB2834BLK2430,Black Picture Frame With Mat | Plexiglass Cover | Wall Display | Modern Design - Americanflat - 28x34,5,98.31,FedEx (service not itemized) $98.31,Billed above label cost $98.31
MP-PES-SHOW-A405P233-7174,71x74 Botanical Boho Shower Curtain - 100% Polyester - Water-Resistant Bath Curtain,31,97.67,UPS Ground Saver $83.03; UPS (service not itemized) $12.85; USPS Ground Advantage $1.79,Carrier re-rate after label $97.67
LX2020BLK810NF,Americanflat 20x20 Picture Frame with Polished Plexiglass - Use as 8x10 Frame with Mat or 20x20 Frame Without Mat - Streamline Collection - Black,27,96.32,USPS Ground Advantage $86.67; FedEx (service not itemized) $7.65; UPS Ground Saver $2.00,Carrier re-rate after label $88.67; Billed above label cost $7.65
MP-WPC-GSD-2028-BLACK,"Americanflat 20x28 Gallery-Style Picture Frame to Secure Artwork, Prints, and Photos - Black",16,95.09,UPS Ground Saver $86.89; FedEx (service not itemized) $8.20,Carrier re-rate after label $83.64; Billed above label cost $11.45
WB2228WALNUT,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 22x28 / Walnut,11,94.94,UPS Ground Saver $65.34; FedEx (service not itemized) $29.61,Carrier re-rate after label $65.34; Billed above label cost $29.61
MP-MDF-WMW-1117-BLACK-812,Americanflat 11x17 Wide Molding Picture Frame - Black,17,92.95,UPS Ground Saver $91.71; FedEx (service not itemized) $1.24,Carrier re-rate after label $91.71; Billed above label cost $1.24
WMW2834BLK2430,Hudson Picture Frame - 28x34 / Black / 24x30,6,91.15,FedEx (service not itemized) $91.15,Billed above label cost $91.15
LX1620BLK,Americanflat 16x20 Poster Frame with Polished Plexiglass - Streamline Collection - Thin Border Picture Frame for Wall Display - Black,24,91.08,USPS Ground Advantage $60.08; UPS Ground Saver $28.10; FedEx (service not itemized) $2.91,Carrier re-rate after label $88.17; Billed above label cost $2.91
GSD2840BLK2436,Gallery Picture Frame with Mat | Soho Collection - 28x40 / Black / 24x36,2,90.78,UPS Ground Saver $90.78,Carrier re-rate after label $90.78
WMW2028BLK1624,"Americanflat 20x28 Picture Frame with Polished Plexiglass, Use as 16x24 Frame with Mat or 20x28 Frame Without Mat, Hudson Collection, Black",34,87.52,FedEx (service not itemized) $87.52,Billed above label cost $69.04; Carrier re-rate after label $18.48
MPCANFA281P17233040,Americanflat 30x40 Nature-Inspired Canvas Wall Art with Gold Foil,2,86.71,UPS Ground Saver $86.71,Carrier re-rate after label $86.71
MP-PVC-PS-1216-NAOAK-8511-5PK,Americanflat 5 Pack of 12x16 Frames with 8.5x11 Mat - Plexiglass Cover - Natural Oak,22,85.83,UPS Ground Saver $66.19; UPS (service not itemized) $10.82; USPS Ground Advantage $6.02; FedEx (service not itemized) $2.80,Carrier re-rate after label $83.04; Billed above label cost $2.80
MP-WPC-GSD-1620-BLACK-1114,"Americanflat 16x20 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",24,85.29,UPS Ground Saver $45.28; FedEx (service not itemized) $35.92; USPS Ground Advantage $2.08; UPS (service not itemized) $2.01,Carrier re-rate after label $49.37; Billed above label cost $35.92
WMW2840WHT2436,Oversized Gallery Picture Frame with Mat | Hudson Collection - 28x40 / White / 24x36,6,85.18,FedEx (service not itemized) $85.18,Billed above label cost $85.18
LX1420BLK1117,Picture Frame | Includes Mat | Slim Molding | Streamline Collection - 14x20 with 11x17 Mat / Black / 1 Pack,21,84.87,UPS Ground Saver $83.05; USPS Ground Advantage $1.50; FedEx (service not itemized) $0.32,Carrier re-rate after label $84.55; Billed above label cost $0.32
LX1122BLKNOMAT,Americanflat 11x22 Newspaper Frame Polished Plexiglass - Display Assorted Media Articles - Thin Border Picture Frame for Wall Display - Black,34,84.06,UPS Ground Saver $75.66; UPS (service not itemized) $8.40,Carrier re-rate after label $82.06; Billed above label cost $2.00
LX1215BLKNOMAT,Americanflat 12x15 Picture Frame  - Streamline Collection - Thin Border Picture Frame for Wall Display - Hanging Hardware Included - Black,13,81.47,UPS Ground Saver $56.27; USPS Ground Advantage $17.32; USPS (service not itemized) $4.22; UPS (service not itemized) $3.15; FedEx (service not itemized) $0.51,Carrier re-rate after label $80.96; Billed above label cost $0.51
WB2436WHPC,Americanflat 24x36 inch White Poster Frame | Polished Plexiglass. Hanging Hardware Included!,13,81.21,FedEx (service not itemized) $81.21,Billed above label cost $81.21
PILL1616BLUEABST001,"Americanflat 16x16 Decorative Throw Pillow with Sewn-in Insert - Soft Square All-in-One Cushion for Sofa, Couch or Bed - Blue",16,80.2,FedEx (service not itemized) $68.10; USPS (service not itemized) $12.10,Billed above label cost $80.20
WB2030WALNUT,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 20x30 / Walnut,12,78.99,UPS Ground Saver $50.62; FedEx (service not itemized) $28.37,Carrier re-rate after label $50.62; Billed above label cost $28.37
BATBSBLDCBLK,Baseball Memorabilia Display Cases | Bat Display + Baseball Display | All-Star Collection - Bat & Baseball,7,78.25,UPS Ground Saver $72.28; FedEx (service not itemized) $5.97,Carrier re-rate after label $72.28; Billed above label cost $5.97
MP-PVC-PS-1218-WHITE-1117-2PK,Americanflat 2 Pack of 12x18 Frames with 11x17 Mat - Plexiglass Cover - White,18,75.33,USPS Ground Advantage $44.84; USPS (service not itemized) $30.00; FedEx (service not itemized) $0.49,Carrier re-rate after label $74.84; Billed above label cost $0.49
PILL1616NAVYLINE001,"Americanflat 16x16 Decorative Throw Pillow with Sewn-in Insert - Soft Square All-in-One Cushion for Sofa, Couch or Bed - Blue and White",15,74.77,FedEx (service not itemized) $74.77,Billed above label cost $74.77
A281P222SHOW7174,"Americanflat 71 x 74 Shower Curtain, Green Sleeves I by PI Creative Art",16,74.55,UPS (service not itemized) $40.79; UPS Ground Saver $25.83; FedEx (service not itemized) $6.27; USPS Ground Advantage $1.66,Carrier re-rate after label $67.45; Billed above label cost $7.10
MPCANFA281P6916202SET,Americanflat 16x20 Botanical Canvas Wall Art Featuring Black Line Flowers with Grey Hand-Painted and Gold Foil Accents - Set of 2 - Modern Wall Art,3,74.26,UPS Ground Saver $74.26,Carrier re-rate after label $74.26
WB1930BLK,Americanflat 19x30 Picture Frame  - Black Picture Frame - Wide Photo Frames Made of Engineered Wood - Epic Collection - Black,9,74.24,UPS Ground Saver $56.76; FedEx (service not itemized) $17.48,Carrier re-rate after label $56.76; Billed above label cost $17.48
MP-WPC-GSD-2024-WHITE-1620,"Americanflat 20x24 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - White",17,73.17,FedEx (service not itemized) $43.74; UPS Ground Saver $28.08; UPS (service not itemized) $1.35,Billed above label cost $43.74; Carrier re-rate after label $29.43
KAF8511BK,Kids Art Frame - Front opening Wall Display for Artworks - Black,33,72.45,FedEx (service not itemized) $26.66; UPS Ground Saver $22.05; UPS (service not itemized) $13.40; USPS Ground Advantage $10.34,Carrier re-rate after label $40.66; Billed above label cost $31.79
MP-MDF-2436-BLACK,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 24x36 / Black,13,72.08,FedEx (service not itemized) $41.69; USPS Ground Advantage $30.39,Billed above label cost $41.69; Carrier re-rate after label $30.39
KAF8511WH,Americanflat 10x12.5 Kids Artwork Picture Frame in White- Displays 8.5x11 With Mat and 10x12.5 Without Mat - My Mini Masterpiece,26,71.85,UPS Ground Saver $51.93; USPS Ground Advantage $9.54; UPS (service not itemized) $6.95; FedEx (service not itemized) $3.43,Carrier re-rate after label $62.74; Billed above label cost $9.10
MP-MDF-MW-1114-WHITE-7SET,Americanflat 7 Piece Gallery Wall Frame Set to Enhance Wall Decor - White,28,71.06,FedEx (service not itemized) $71.06,Billed above label cost $71.06
LX2424WHT1114,Americanflat 24x24 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 24x24 Frame Without Mat - Streamline Collection - White,20,70.51,UPS (service not itemized) $26.97; USPS Ground Advantage $23.85; UPS Ground Saver $19.48; FedEx (service not itemized) $0.21,Carrier re-rate after label $68.30; Billed above label cost $2.21
MP-PVC-LX-1836-BLACK,Americanflat 18x36 Poster Frame - Perfect for Photos and Artwork - Black,8,70.48,UPS Ground Saver $32.00; FedEx (service not itemized) $28.75; UPS (service not itemized) $9.73,Carrier re-rate after label $41.73; Billed above label cost $28.75
427003095462690826,Americanflat Poster Frame with Mat - Large Picture Frame - Polished Plexiglass Cover - Hanging Hardware for Horizontal and Vertical Display - Black,3,69.54,FedEx (service not itemized) $69.54,Billed above label cost $69.54
WB1316BLK,Americanflat 13x16 Picture Frame Polished Plexiglass - Home Gallery Wall Decor for Photos and Art Signature Collection Professional Quality - Black,2,69.47,FedEx (service not itemized) $69.47,Billed above label cost $69.47
WMW1010WHT88,Americanflat 10x10 Picture Frame with Shatter-Resistant Glass - 8x8 with Mat or 10x10 Without Mat - Hudson - Wide Square Frames - White,19,69.28,FedEx (service not itemized) $48.54; UPS Ground Saver $19.24; USPS Ground Advantage $1.50,Billed above label cost $48.54; Carrier re-rate after label $20.74
MP-PVC-LX-1826-BLACK,Americanflat 18x26 Poster Frame - Perfect for Photos and Artwork - Black,23,68.21,UPS Ground Saver $68.21,Carrier re-rate after label $68.21
MP-PVC-LX-1620-1616-BLK-4SET,Americanflat Set of 4 Picture Frames  | Gallery Wall Frame Set | Black - 16 x 20 / Black,21,68.06,FedEx (service not itemized) $27.55; UPS Ground Saver $22.14; UPS (service not itemized) $18.37,Carrier re-rate after label $36.51; Billed above label cost $31.55
LX2026WHT1114,Americanflat 20x26 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 20x26 Frame Without Mat - Streamline Collection - White,5,67.5,FedEx (service not itemized) $46.57; USPS Ground Advantage $13.38; UPS Ground Saver $7.55,Billed above label cost $46.57; Carrier re-rate after label $20.93
PILL2020NAVYLINE001,"Americanflat 20x20 Decorative Throw Pillow with Sewn-in Insert - Soft Square All-in-One Cushion for Sofa, Couch or Bed - Blue and White",11,67.48,FedEx (service not itemized) $55.38; USPS (service not itemized) $12.10,Billed above label cost $67.48
GSD1620BLK1114,"Gallery Picture Frame with Mat | Soho Collection - 16"" x 20"" / Black",8,66.99,FedEx (service not itemized) $46.98; UPS Ground Saver $20.01,Billed above label cost $46.98; Carrier re-rate after label $20.01
MP-WPC-GSD-1212-BLACK-1010,"Americanflat 12x12 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",11,65.61,UPS Ground Saver $38.97; FedEx (service not itemized) $20.97; USPS Ground Advantage $5.68,Carrier re-rate after label $38.97; Billed above label cost $26.64
MW0816BK3,Americanflat Collage Picture Frame in Black with Three Displays of 4 x 6 Shatter Resistant Glass for Wall - 8x14 - Pack of 1,34,65.16,USPS Ground Advantage $28.84; UPS Ground Saver $23.39; UPS (service not itemized) $12.93; FedEx (service not itemized) $0.01,Carrier re-rate after label $60.50; Billed above label cost $4.67
MW1122BK,Americanflat 11x22 Newspaper Frame In Black - Assorted Media Article Cover Frame - Hanging Hardware Included,21,65.05,UPS Ground Saver $57.23; USPS Ground Advantage $7.82,Carrier re-rate after label $65.05
WB2432BLKPC,Americanflat 24X32 Poster Frame in Black - Composite Wood with Polished Plexiglass  with Hanging Hardware Included,8,64.78,FedEx (service not itemized) $64.78,Billed above label cost $64.78
OCFBAM1114GLD810,Americanflat 11x14 Picture Frame with Bamboo-Style Molding and Shatter-Resistant Glass - Elegant Gold Bamboo Frames for Tabletop or Wall,7,64.14,FedEx (service not itemized) $64.14,Billed above label cost $64.14
MP-ALU-FF-1620-BLACK,Americanflat Floating Aluminum & Plexiglass Frame - 16x20 - Black,23,63.84,UPS Ground Saver $44.66; UPS (service not itemized) $11.75; FedEx (service not itemized) $7.43,Carrier re-rate after label $56.41; Billed above label cost $7.43
LX1836BLKNOMAT,Americanflat 18x36 Picture Frame with Polished Plexiglass - Streamline Collection - Thin Border Picture Frame for Wall Display - Black,9,63.33,UPS Ground Saver $30.00; FedEx (service not itemized) $22.99; UPS (service not itemized) $10.34,Carrier re-rate after label $40.34; Billed above label cost $22.99
MPCANFA281P17241530,"Americanflat Canvas Wall Art Featuring Beige Sand, Blue Ocean and White Sky - Coastal Beach Wall Art",9,62.91,UPS Ground Saver $45.48; USPS Ground Advantage $11.81; FedEx (service not itemized) $5.62,Carrier re-rate after label $57.29; Billed above label cost $5.62
MP-PS-1114-BLACK-810-5PK,Americanflat 5 Pack of 11x14 Frames with 8x10 Mat - Plexiglass Cover - Black,11,62.75,UPS Ground Saver $51.30; UPS (service not itemized) $7.89; USPS Ground Advantage $2.87; FedEx (service not itemized) $0.69,Carrier re-rate after label $59.19; Billed above label cost $3.55
WB2228BLK1824,"Americanflat 22x28 Poster Frame with Polished Plexiglass, Use as 18x24 Frame with Mat or 22x28 Frame Without Mat, Epic Collection, Black",12,62.1,FedEx (service not itemized) $62.10,Billed above label cost $62.10
WMW1616BLK1212,Oversized Gallery Picture Frame with Mat | Hudson Collection - 16x16 / Black / 12x12,17,62.03,USPS Ground Advantage $54.61; FedEx (service not itemized) $7.42,Carrier re-rate after label $54.61; Billed above label cost $7.42
KAFBLK-2PACK,Americanflat Kids Art Frame with Mat | Holds up to 100 Artworks - 8.5x11 / Black / 2 pack,16,61.27,USPS Ground Advantage $34.53; FedEx (service not itemized) $19.76; UPS Ground Saver $6.97,Carrier re-rate after label $41.50; Billed above label cost $19.76
MW1319WALNUT,Americanflat 13x19 Picture Frame in Walnut - Composite Wood with Shatter Resistant Glass,18,60.65,USPS Ground Advantage $27.51; UPS Ground Saver $23.18; UPS (service not itemized) $8.83; FedEx (service not itemized) $1.12,Carrier re-rate after label $59.52; Billed above label cost $1.12
MP-PVC-LX-2430-BLACK,Americanflat 24x30 Poster Frame - Perfect for Photos and Artwork - Black,8,60.42,FedEx (service not itemized) $30.42; UPS Ground Saver $30.00,Billed above label cost $30.42; Carrier re-rate after label $30.00
DF0811B,Americanflat 11x14 Black Diploma Frame | Displays 8.5x11 Diplomas with Mat or 11x14 Inch Without Mat. Shatter-Resistant Glass.,13,59.43,UPS Ground Saver $22.93; UPS (service not itemized) $22.25; FedEx (service not itemized) $14.25,Carrier re-rate after label $45.18; Billed above label cost $14.25
JRSYDCBLK,Lockable Jersey Display Case with Hanger for Adults & Kids | All-Star Collection - Black / Adults,14,57.99,FedEx (service not itemized) $57.99,Billed above label cost $57.99
MP-MDF-WBDIST-1824-DBLUE,Americanflat Rustic Picture Frame - Unique Farmhouse Look - 18x24 - Rustic Turquoise,19,57.8,UPS Ground Saver $57.74; FedEx (service not itemized) $0.06,Carrier re-rate after label $57.74; Billed above label cost $0.06
WB2436PNICKELPC,Epic Poster Frame - 24x36 / Silver,2,57.09,USPS Ground Advantage $57.09,Carrier re-rate after label $57.09
